category,object,label_en,label_ja
Prerequisites,v_res_tre_storagebox,Storage Unit,
Prerequisites,v_res_tre_wardrobe,Wardrobe,
Couches,miss_rub_couch_01,Old couch,
Couches,prop_fib_3b_bench,Threesits couch,
Couches,prop_ld_farm_chair01,Old chair,
Couches,prop_ld_farm_couch01,Old treesits couch,
Couches,prop_ld_farm_couch02,Old striped couch,
Couches,v_res_d_armchair,Old 1 Seat Couch Yellow,
Couches,v_res_fh_sofa,corner sofa,
Couches,v_res_mp_sofa,corner sofa 2,
Couches,v_res_d_sofa,couch 1,
Couches,v_res_j_sofa,Couch 2,
Couches,v_res_mp_stripchair,Couch 3,
Couches,v_res_m_h_sofa_sml,Couch 4,
Couches,v_res_r_sofa,Couch 5,
Couches,v_res_tre_sofa,Couch 6,
Couches,v_res_tre_sofa_mess_a,Couch 7,
Couches,v_res_tre_sofa_mess_b,Couch 8,
Couches,v_res_tre_sofa_mess_c,Couch 9,
Couches,v_res_tt_sofa,Couch 10,
Couches,prop_rub_couch02,Couch 11,
Couches,v_ilev_m_sofa,White Couch,
Couches,v_med_p_sofa,Lether Couch Brown,
Couches,v_club_officesofa,pauper Couch rood,
Couches,bkr_prop_clubhouse_sofa_01a,Black Couch,
Couches,apa_mp_h_stn_sofacorn_01,corner sofa 3,
Couches,prop_couch_lg_02,Couch hout,
Couches,apa_mp_h_stn_sofacorn_10,corner sofa 4,
Couches,apa_mp_h_yacht_sofa_02,Brown Couch,
Couches,apa_mp_h_yacht_sofa_01,White long Couch,
Couches,prop_couch_01,Sofa cushions,
Couches,prop_couch_03,Sofa yellow,
Couches,prop_couch_04,Leather sofa cushions,
Couches,prop_couch_lg_05,Sofa corduroy,
Couches,prop_couch_lg_06,Leather sofa brown 2,
Couches,prop_couch_lg_07,Sofa cushions 2,
Couches,prop_couch_lg_08,Leather sofa brown 3,
Couches,prop_couch_sm1_07,Leather sofa corner,
Couches,prop_couch_sm2_07,Leather sofa straight,
Couches,prop_couch_sm_06,Leather sofa small,
Couches,apa_mp_h_stn_sofa2seat_02,Love seat,
Couches,apa_mp_h_stn_sofacorn_05,Corner sofa 5,
Couches,apa_mp_h_stn_sofacorn_06,Corner sofa 6,
Couches,apa_mp_h_stn_sofacorn_07,Corner sofa 7,
Couches,apa_mp_h_stn_sofacorn_08,Corner sofa 8,
Couches,apa_mp_h_stn_sofacorn_09,Corner sofa 9,
Couches,ex_mp_h_off_sofa_003,Sofa blue fabric,
Couches,ex_mp_h_off_sofa_01,Sofa white leather,
Couches,ex_mp_h_off_sofa_02,Sofa black leather,
Couches,hei_heist_stn_sofa2seat_03,Sofa modern,
Couches,hei_heist_stn_sofa2seat_06,Couch brown,
Couches,hei_heist_stn_sofa3seat_01,Chaise lounge,
Couches,hei_heist_stn_sofa3seat_02,Sofa modern 2,
Couches,hei_heist_stn_sofa3seat_06,Sofa modern 3,
Couches,imp_prop_impexp_sofabed_01a,Sofa bed,
Couches,prop_t_sofa_02,Sofa bed 2,
Chairs,v_res_d_highchair,High chair,
Chairs,apa_mp_h_stn_chairstrip_03,Sitchair 4,
Chairs,v_res_fa_chair01,Chairl,
Chairs,v_res_fa_chair02,Chair 2,
Chairs,v_res_fh_barcchair,High chair 2,
Chairs,v_res_fh_dineeamesa,Kitchen chair 1,
Chairs,v_res_fh_dineeamesb,Kitchen chair 2,
Chairs,v_res_fh_dineeamesc,Kitchen chair 3,
Chairs,v_res_fh_easychair,Chair 3,
Chairs,v_res_fh_kitnstool,Chair 4,
Chairs,v_res_fh_singleseat,High chair 3,
Chairs,v_res_jarmchair,Arm Chair,
Chairs,v_res_j_dinechair,Kitchen chair 4,
Chairs,v_res_j_stool,Chair 5,
Chairs,v_res_mbchair,MB Chair,
Chairs,v_res_m_armchair,Arm Chair 2,
Chairs,v_res_m_dinechair,Kitchen chair 5,
Chairs,v_res_study_chair,Study Chair,
Chairs,v_res_trev_framechair,Chair frame,
Chairs,v_res_tre_chair,Chair 5,
Chairs,v_res_tre_officechair,officeChair,
Chairs,v_res_tre_stool,Chair 6,
Chairs,v_res_tre_stool_leather,Lether Chair,
Chairs,v_res_tre_stool_scuz,Chair Scuz,
Chairs,v_med_p_deskchair,DeskChair,
Chairs,v_med_p_easychair,Easy Chair,
Chairs,v_med_whickerchair1,Whicker Chair,
Chairs,prop_direct_chair_01,Direct Chair,
Chairs,prop_direct_chair_02,Direct Chair 2,
Chairs,prop_yacht_lounger,Yacht Chair 1,
Chairs,prop_yacht_seat_01,Yacht Chair 2,
Chairs,prop_yacht_seat_02,Yacht Chair 3,
Chairs,prop_yacht_seat_03,Yacht Chair 4,
Chairs,v_ret_chair_white,White Chair,
Chairs,v_ret_chair,Chair 7,
Chairs,v_ret_ta_stool,TA Chair,
Chairs,prop_cs_office_chair,Office Chair 2,
Chairs,apa_mp_h_yacht_armchair_01,White fauteuil,
Chairs,v_club_barchair,Chair 8,
Chairs,prop_off_chair_04,Desk Chair 2,
Chairs,v_club_stagechair,Fauteuil roze,
Chairs,v_club_officechair,Desk Chair 3,
Chairs,prop_armchair_01,Sit chair,
Chairs,prop_bar_stool_01,Barstool,
Chairs,apa_mp_h_yacht_stool_01,White pouffe,
Chairs,apa_mp_h_stn_chairarm_12,Sitchair 3,
